model,p,q,dist,n_obs,ll_arima,ll_garch,ll_combined,k_params,aic_combined,bic_combined,lb_res_p_lag10,lb_res_p_lag20,lb_res_p_lag40,lb_sq_p_lag10,lb_sq_p_lag20,lb_sq_p_lag40,arch_lm_stat,arch_lm_p,jb_stat,jb_p,alpha,beta,alpha_beta_sum
"ARMA(0,1) + GARCH(1,1)-t",0,1,t,756,2541.671112041619,2641.1949628576167,5182.866074899235,7,-10351.73214979847,-10319.335860165214,0.31592696593488745,0.2889394899674001,0.10549414997429465,0.5531049530813043,0.36038758886386707,0.8706766566437736,17.418231582176613,0.13453048420545374,35.099141075165036,2.3895622887058926e-08,0.10446969354758429,0.8755799576706818,0.980049651218266
"ARMA(1,0) + GARCH(1,1)-t",1,0,t,756,2541.6452341682334,2641.0196399082897,5182.664874076523,7,-10351.329748153046,-10318.93345851979,0.29261263373602625,0.27135316155927447,0.10100709578874069,0.5228396674334789,0.3394024162696239,0.8634773453585538,17.893879753349964,0.11895089481738874,34.23494642875764,3.681084940705298e-08,0.1031316689544408,0.8770388411597143,0.9801705101141551
"ARMA(1,1) + GARCH(1,1)-t",1,1,t,756,2541.668365355228,2641.208194916714,5182.876560271942,8,-10349.753120543885,-10312.728789534449,0.305677151004034,0.28123653920733255,0.10386016374902644,0.5362703632073035,0.3474394446935277,0.865875811869725,17.68194217252954,0.12569465012914566,34.801745859176854,2.7726618469757943e-08,0.10354443628103525,0.8766287185949364,0.9801731548759717
"ARMA(1,0) + GARCH(1,1)-normal",1,0,normal,756,2541.6452341682334,2638.8546641418284,5180.499898310061,6,-10348.999796620123,-10321.231548363045,0.28006631283117156,0.26488061897289195,0.09523254949024516,0.6175779789932729,0.45305569853244354,0.9123059034011121,16.158203715992382,0.18409703200137592,33.01331453282354,6.780314433779573e-08,0.11322439549090722,0.867061216102944,0.9802856115938512
"ARMA(0,1) + GARCH(1,1)-normal",0,1,normal,756,2541.671112041619,2638.766827516835,5180.437939558454,6,-10348.875879116908,-10321.10763085983,0.3174996636540018,0.2846179801615484,0.10630419529716342,0.5321652823400271,0.34062685223366446,0.8548351016371702,17.612203821737925,0.12798268884935965,35.44266262987059,2.012443044452771e-08,0.10006122572774843,0.8799401348439793,0.9800013605717277
"ARMA(1,1) + GARCH(1,1)-normal",1,1,normal,756,2541.668365355228,2638.7660135542797,5180.434378909507,7,-10346.868757819015,-10314.472468185759,0.28751469813837605,0.2632783778140407,0.09537665654250636,0.6573721561707623,0.5068331082127082,0.9216672975681257,15.059170242560068,0.23821653512419205,33.2344411745538,6.070616449536824e-08,0.11301278732574165,0.8672718336561251,0.9802846209818668
"ARMA(0,0) + GARCH(1,1)-t",0,0,t,756,2537.047639355091,2641.1658400975,5178.213479452592,6,-10344.426958905184,-10316.658710648106,0.4040483977977849,0.3113533988130243,0.0795262280073106,0.592482871288009,0.4894570263363477,0.8697876162902038,16.180055786403507,0.18312767704138516,26.820476086362767,1.4997111378294452e-06,0.11337286639677119,0.8676124974033256,0.9809853638000967
"ARMA(0,0) + GARCH(1,1)-normal",0,0,normal,756,2537.047639355091,2639.0112145105495,5176.058853865641,5,-10342.117707731282,-10318.977500850384,0.3990670844221575,0.30454315181922265,0.07882101444123693,0.6548789597680038,0.5801158429166497,0.8928243280370872,14.537937085713136,0.2676823863309552,26.40375284924083,1.8471319398504344e-06,0.11552208190009486,0.864827311646773,0.9803493935468678
