model,horizon,step,mean_forecast,variance_forecast,std_forecast,lower_95,upper_95
GJR-GARCH-Skewed-t,1,1,0.00032248347090330765,9.620362030568725e-05,0.009808344422260428,-0.018901871596727134,0.01954683853853375
GJR-GARCH-Skewed-t,5,1,0.00032248347090330765,9.620362030568725e-05,0.009808344422260428,-0.018901871596727134,0.01954683853853375
GJR-GARCH-Skewed-t,5,2,0.00032248347090330765,9.464664142374328e-05,0.00972865054484656,-0.01874567159699595,0.019390638538802563
GJR-GARCH-Skewed-t,5,3,0.00032248347090330765,9.31538816205765e-05,0.009651625853739696,-0.018594703202426496,0.019239670144233112
GJR-GARCH-Skewed-t,5,4,0.00032248347090330765,9.172269211904116e-05,0.00957719646446919,-0.018448821599456308,0.01909378854126292
GJR-GARCH-Skewed-t,5,5,0.00032248347090330765,9.035053339333077e-05,0.009505289758515034,-0.018307884455786155,0.01895285139759277
GJR-GARCH-Skewed-t,10,1,0.00032248347090330765,9.620362030568725e-05,0.009808344422260428,-0.018901871596727134,0.01954683853853375
GJR-GARCH-Skewed-t,10,2,0.00032248347090330765,9.464664142374328e-05,0.00972865054484656,-0.01874567159699595,0.019390638538802563
GJR-GARCH-Skewed-t,10,3,0.00032248347090330765,9.31538816205765e-05,0.009651625853739696,-0.018594703202426496,0.019239670144233112
GJR-GARCH-Skewed-t,10,4,0.00032248347090330765,9.172269211904116e-05,0.00957719646446919,-0.018448821599456308,0.01909378854126292
GJR-GARCH-Skewed-t,10,5,0.00032248347090330765,9.035053339333077e-05,0.009505289758515034,-0.018307884455786155,0.01895285139759277
GJR-GARCH-Skewed-t,10,6,0.00032248347090330765,8.903497066280255e-05,0.009435834391446395,-0.018171751936331627,0.018816718878138242
GJR-GARCH-Skewed-t,10,7,0.00032248347090330765,8.777366957166321e-05,0.009368760300683503,-0.018040286718436355,0.01868525366024297
GJR-GARCH-Skewed-t,10,8,0.00032248347090330765,8.656439204685033e-05,0.009303998712749822,-0.017913354006086343,0.018558320947892958
GJR-GARCH-Skewed-t,10,9,0.00032248347090330765,8.540499232675917e-05,0.009241482149891282,-0.017790821542883604,0.01843578848469022
GJR-GARCH-Skewed-t,10,10,0.00032248347090330765,8.429341315376875e-05,0.009181144435949624,-0.017672559623557956,0.018317526565364572
GJR-GARCH-Skewed-t,20,1,0.00032248347090330765,9.620362030568725e-05,0.009808344422260428,-0.018901871596727134,0.01954683853853375
GJR-GARCH-Skewed-t,20,2,0.00032248347090330765,9.464664142374328e-05,0.00972865054484656,-0.01874567159699595,0.019390638538802563
GJR-GARCH-Skewed-t,20,3,0.00032248347090330765,9.31538816205765e-05,0.009651625853739696,-0.018594703202426496,0.019239670144233112
GJR-GARCH-Skewed-t,20,4,0.00032248347090330765,9.172269211904116e-05,0.00957719646446919,-0.018448821599456308,0.01909378854126292
GJR-GARCH-Skewed-t,20,5,0.00032248347090330765,9.035053339333077e-05,0.009505289758515034,-0.018307884455786155,0.01895285139759277
GJR-GARCH-Skewed-t,20,6,0.00032248347090330765,8.903497066280255e-05,0.009435834391446395,-0.018171751936331627,0.018816718878138242
GJR-GARCH-Skewed-t,20,7,0.00032248347090330765,8.777366957166321e-05,0.009368760300683503,-0.018040286718436355,0.01868525366024297
GJR-GARCH-Skewed-t,20,8,0.00032248347090330765,8.656439204685033e-05,0.009303998712749822,-0.017913354006086343,0.018558320947892958
GJR-GARCH-Skewed-t,20,9,0.00032248347090330765,8.540499232675917e-05,0.009241482149891282,-0.017790821542883604,0.01843578848469022
GJR-GARCH-Skewed-t,20,10,0.00032248347090330765,8.429341315376875e-05,0.009181144435949624,-0.017672559623557956,0.018317526565364572
GJR-GARCH-Skewed-t,20,11,0.00032248347090330765,8.322768212381045e-05,0.00912292070138782,-0.01755844110381682,0.018203408045623436
GJR-GARCH-Skewed-t,20,12,0.00032248347090330765,8.220590818650247e-05,0.009066747387376714,-0.017448341408355054,0.018093308350161666
GJR-GARCH-Skewed-t,20,13,0.00032248347090330765,8.122627828963939e-05,0.009012562248863494,-0.01734213853686914,0.017987105478675755
GJR-GARCH-Skewed-t,20,14,0.00032248347090330765,8.028705416208297e-05,0.008960304356554132,-0.017239713067942794,0.017884680009749406
GJR-GARCH-Skewed-t,20,15,0.00032248347090330765,7.938656922934575e-05,0.008909914097753454,-0.01714094816069346,0.017785915102500077
GJR-GARCH-Skewed-t,20,16,0.00032248347090330765,7.852322565639431e-05,0.008861333176017833,-0.017045729554091647,0.017690696495898262
GJR-GARCH-Skewed-t,20,17,0.00032248347090330765,7.769549151242495e-05,0.008814504609586687,-0.0169539455638866,0.017598912505693214
GJR-GARCH-Skewed-t,20,18,0.00032248347090330765,7.690189805258087e-05,0.008769372728569636,-0.01686548707709318,0.017510454018899793
GJR-GARCH-Skewed-t,20,19,0.00032248347090330765,7.614103711178751e-05,0.008725883170876601,-0.01678024754401483,0.017425214485821447
GJR-GARCH-Skewed-t,20,20,0.00032248347090330765,7.541155860608169e-05,0.008683982876887868,-0.016698122967796915,0.017343089909603527
GJR-GARCH-t,1,1,0.00038955528521330467,9.475495961113499e-05,0.009734215921744031,-0.01971811602634118,0.02049722659676778
GJR-GARCH-t,5,1,0.00038955528521330467,9.475495961113499e-05,0.009734215921744031,-0.01971811602634118,0.02049722659676778
GJR-GARCH-t,5,2,0.00038955528521330467,9.312307843581498e-05,0.009650029970721074,-0.019544215689033178,0.02032332625945978
GJR-GARCH-t,5,3,0.00038955528521330467,9.156121965324454e-05,0.00956876270231656,-0.019376344384903214,0.02015545495532982
GJR-GARCH-t,5,4,0.00038955528521330467,9.00663786724274e-05,0.009490330798893545,-0.019214330007263743,0.019993440577690345
GJR-GARCH-t,5,5,0.00038955528521330467,8.863567982636857e-05,0.009414652400719242,-0.019058003460975134,0.019837114031401735
GJR-GARCH-t,10,1,0.00038955528521330467,9.475495961113499e-05,0.009734215921744031,-0.01971811602634118,0.02049722659676778
GJR-GARCH-t,10,2,0.00038955528521330467,9.312307843581498e-05,0.009650029970721074,-0.019544215689033178,0.02032332625945978
GJR-GARCH-t,10,3,0.00038955528521330467,9.156121965324454e-05,0.00956876270231656,-0.019376344384903214,0.02015545495532982
GJR-GARCH-t,10,4,0.00038955528521330467,9.00663786724274e-05,0.009490330798893545,-0.019214330007263743,0.019993440577690345
GJR-GARCH-t,10,5,0.00038955528521330467,8.863567982636857e-05,0.009414652400719242,-0.019058003460975134,0.019837114031401735
GJR-GARCH-t,10,6,0.00038955528521330467,8.726637084007417e-05,0.009341647116010869,-0.018907198683197055,0.01968630925362366
GJR-GARCH-t,10,7,0.00038955528521330467,8.595581753592374e-05,0.009271236030644659,-0.0187617526634441,0.019540863233870703
GJR-GARCH-t,10,8,0.00038955528521330467,8.470149876622982e-05,0.00920334171734538,-0.01862150546256826,0.019400616032994863
GJR-GARCH-t,10,9,0.00038955528521330467,8.350100156323634e-05,0.0091378882441862,-0.018486300230316884,0.01926541080074349
GJR-GARCH-t,10,10,0.00038955528521330467,8.235201649722569e-05,0.009074801182242269,-0.01835598322114241,0.019135093791569014
GJR-GARCH-t,20,1,0.00038955528521330467,9.475495961113499e-05,0.009734215921744031,-0.01971811602634118,0.02049722659676778
GJR-GARCH-t,20,2,0.00038955528521330467,9.312307843581498e-05,0.009650029970721074,-0.019544215689033178,0.02032332625945978
GJR-GARCH-t,20,3,0.00038955528521330467,9.156121965324454e-05,0.00956876270231656,-0.019376344384903214,0.02015545495532982
GJR-GARCH-t,20,4,0.00038955528521330467,9.00663786724274e-05,0.009490330798893545,-0.019214330007263743,0.019993440577690345
GJR-GARCH-t,20,5,0.00038955528521330467,8.863567982636857e-05,0.009414652400719242,-0.019058003460975134,0.019837114031401735
GJR-GARCH-t,20,6,0.00038955528521330467,8.726637084007417e-05,0.009341647116010869,-0.018907198683197055,0.01968630925362366
GJR-GARCH-t,20,7,0.00038955528521330467,8.595581753592374e-05,0.009271236030644659,-0.0187617526634441,0.019540863233870703
GJR-GARCH-t,20,8,0.00038955528521330467,8.470149876622982e-05,0.00920334171734538,-0.01862150546256826,0.019400616032994863
GJR-GARCH-t,20,9,0.00038955528521330467,8.350100156323634e-05,0.0091378882441862,-0.018486300230316884,0.01926541080074349
GJR-GARCH-t,20,10,0.00038955528521330467,8.235201649722569e-05,0.009074801182242269,-0.01835598322114241,0.019135093791569014
GJR-GARCH-t,20,11,0.00038955528521330467,8.12523332338048e-05,0.00901400761225576,-0.01823040380797015,0.01900951437839675
GJR-GARCH-t,20,12,0.00038955528521330467,8.019983628182371e-05,0.008955436130185046,-0.01810941449366105,0.01888852506408765
GJR-GARCH-t,20,13,0.00038955528521330467,7.919250092374661e-05,0.008899016851526163,-0.01799287091993841,0.018771981490365016
GJR-GARCH-t,20,14,0.00038955528521330467,7.822838932064661e-05,0.008844681414310333,-0.017880631873579786,0.018659742444006387
GJR-GARCH-t,20,15,0.00038955528521330467,7.730564678433145e-05,0.008792362980697023,-0.01777255928970769,0.01855166986013429
GJR-GARCH-t,20,16,0.00038955528521330467,7.64224982094283e-05,0.008741996237097583,-0.017668518252045,0.018447628822471602
GJR-GARCH-t,20,17,0.00038955528521330467,7.557724465856447e-05,0.008693517392779775,-0.01756837699003241,0.018347487560459015
GJR-GARCH-t,20,18,0.00038955528521330467,7.476826009407457e-05,0.008646864176918392,-0.017472006872735934,0.018251117443162535
GJR-GARCH-t,20,19,0.00038955528521330467,7.399398824994678e-05,0.008601975834071308,-0.017379282399501955,0.01815839296992856
GJR-GARCH-t,20,20,0.00038955528521330467,7.32529396379908e-05,0.008558793118073997,-0.017290081187345305,0.018069191757771906
GARCH-t,1,1,0.0006841834920465132,8.253381672584553e-05,0.009084812421059971,-0.018560634789808926,0.019929001773901948
GARCH-t,5,1,0.0006841834920465132,8.253381672584553e-05,0.009084812421059971,-0.018560634789808926,0.019929001773901948
GARCH-t,5,2,0.0006841834920465132,8.203274918561104e-05,0.009057193228898842,-0.018502127656188815,0.019870494640281837
GARCH-t,5,3,0.0006841834920465132,8.154942162049889e-05,0.00903047183819865,-0.018445522380875528,0.01981388936496855
GARCH-t,5,4,0.0006841834920465132,8.108320595805966e-05,0.009004621366723847,-0.018390762017867966,0.019759129001960987
GARCH-t,5,5,0.0006841834920465132,8.063349636234638e-05,0.008979615602148367,-0.01833779104026821,0.01970615802436123
GARCH-t,10,1,0.0006841834920465132,8.253381672584553e-05,0.009084812421059971,-0.018560634789808926,0.019929001773901948
GARCH-t,10,2,0.0006841834920465132,8.203274918561104e-05,0.009057193228898842,-0.018502127656188815,0.019870494640281837
GARCH-t,10,3,0.0006841834920465132,8.154942162049889e-05,0.00903047183819865,-0.018445522380875528,0.01981388936496855
GARCH-t,10,4,0.0006841834920465132,8.108320595805966e-05,0.009004621366723847,-0.018390762017867966,0.019759129001960987
GARCH-t,10,5,0.0006841834920465132,8.063349636234638e-05,0.008979615602148367,-0.01833779104026821,0.01970615802436123
GARCH-t,10,6,0.0006841834920465132,8.019970844664554e-05,0.00895542899288725,-0.01828655532085969,0.019654922304952714
GARCH-t,10,7,0.0006841834920465132,7.97812785140807e-05,0.008932036638644107,-0.018237002112083414,0.019605369096176436
GARCH-t,10,8,0.0006841834920465132,7.937766282510201e-05,0.008909414280697806,-0.018189080025461747,0.01955744700955477
GARCH-t,10,9,0.0006841834920465132,7.898833689090993e-05,0.008887538291951822,-0.018142739010519444,0.019511105994612466
GARCH-t,10,10,0.0006841834920465132,7.861279479189468e-05,0.008866385666769446,-0.018097930333251064,0.01946629731734409
GARCH-t,20,1,0.0006841834920465132,8.253381672584553e-05,0.009084812421059971,-0.018560634789808926,0.019929001773901948
GARCH-t,20,2,0.0006841834920465132,8.203274918561104e-05,0.009057193228898842,-0.018502127656188815,0.019870494640281837
GARCH-t,20,3,0.0006841834920465132,8.154942162049889e-05,0.00903047183819865,-0.018445522380875528,0.01981388936496855
GARCH-t,20,4,0.0006841834920465132,8.108320595805966e-05,0.009004621366723847,-0.018390762017867966,0.019759129001960987
GARCH-t,20,5,0.0006841834920465132,8.063349636234638e-05,0.008979615602148367,-0.01833779104026821,0.01970615802436123
GARCH-t,20,6,0.0006841834920465132,8.019970844664554e-05,0.00895542899288725,-0.01828655532085969,0.019654922304952714
GARCH-t,20,7,0.0006841834920465132,7.97812785140807e-05,0.008932036638644107,-0.018237002112083414,0.019605369096176436
GARCH-t,20,8,0.0006841834920465132,7.937766282510201e-05,0.008909414280697806,-0.018189080025461747,0.01955744700955477
GARCH-t,20,9,0.0006841834920465132,7.898833689090993e-05,0.008887538291951822,-0.018142739010519444,0.019511105994612466
GARCH-t,20,10,0.0006841834920465132,7.861279479189468e-05,0.008866385666769446,-0.018097930333251064,0.01946629731734409
GARCH-t,20,11,0.0006841834920465132,7.825054852020603e-05,0.008845934010617874,-0.01805460655418353,0.019422973538276555
GARCH-t,20,12,0.0006841834920465132,7.790112734559895e-05,0.0088261615295438,-0.018012721506081724,0.019381088490174746
